Word,Predictions,Generated Words,Final Score,Count Words,Missed Predictions,Predicted True Count,Success Out of True,Success Out of False
Cameroon,"{'africa': True, 'middle africa': False, 'yaoundé': True}","['yaoundé', 'mount cameroon', 'bamileke', 'francophone', 'football']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Canada,"{'americas': False, 'northern america': False, 'ottawa': True}","['maple', 'hockey', 'poutine', 'tim hortons', 'niagara']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Chad,"{'africa': True, 'middle africa': True, ""n'djamena"": True}","['confident', 'bold', 'leader', 'charismatic', 'strong']",0.00 %,3,100.00 %,3,0.00 %,
Chile,"{'americas': True, 'south america': True, 'santiago': True}","['andes', 'patagonia', 'pisco', 'atacama', 'santiago']",33.33 %,3,66.67 %,3,33.33 %,
China,"{'asia': True, 'eastern asia': True, 'beijing': True, 'hong kong': True}","['great wall', 'pandas', 'dynasties', 'tea', 'confucianism']",0.00 %,4,100.00 %,4,0.00 %,
Colombia,"{'americas': True, 'south america': True, 'bogotá': True}","['coffee', 'salsa', 'andes', 'emeralds', 'carnival']",0.00 %,3,100.00 %,3,0.00 %,
Comoros,"{'africa': True, 'eastern africa': True, 'moroni': True}","['islands', 'volcano', 'indian ocean', 'moroni', 'spices']",33.33 %,3,66.67 %,3,33.33 %,
Congo,"{'africa': True, 'middle africa': True, 'brazzaville': True}","['rainforest', 'river', 'gorilla', 'kinshasa', 'minerals']",0.00 %,3,100.00 %,3,0.00 %,
Croatia,"{'europe': True, 'southern europe': True, 'zagreb': True}","['adriatic', 'dubrovnik', 'plitvice', 'dalmatia', 'zagreb']",33.33 %,3,66.67 %,3,33.33 %,
Cuba,"{'americas': True, 'caribbean': True, 'havana': True}","['havana', 'cigars', 'salsa', 'revolution', 'beaches']",33.33 %,3,66.67 %,3,33.33 %,
Curaçao,"{'americas': True, 'caribbean': True, 'willemstad': True}","['caribbean', 'blue', 'liqueur', 'willemstad', 'beaches']",66.67 %,3,33.33 %,3,66.67 %,
Cyprus,"{'europe': True, 'southern europe': True, 'nicosia': True}","['mediterranean', 'aphrodite', 'beaches', 'history', 'cuisine']",0.00 %,3,100.00 %,3,0.00 %,
Denmark,"{'europe': True, 'northern europe': True, 'copenhagen': True, 'lego': True}","['hygge', 'vikings', 'copenhagen', 'legos', 'bicycles']",25.00 %,4,75.00 %,4,25.00 %,
Djibouti,"{'africa': True, 'eastern africa': True, 'djibouti': True}","['horn of africa', 'red sea', 'desert', 'strategic port', 'multicultural']",0.00 %,3,100.00 %,3,0.00 %,
Dominica,"{'americas': True, 'caribbean': True, 'roseau': True}","['caribbean', 'nature', 'volcano', 'rainforest', 'creole']",33.33 %,3,66.67 %,3,33.33 %,
Ecuador,"{'americas': True, 'south america': True, 'quito': True}","['andes', 'galapagos', 'quito', 'amazon', 'panama']",33.33 %,3,66.67 %,3,33.33 %,
Egypt,"{'africa': True, 'northern africa': True, 'cairo': True}","['pyramids', 'nile', 'pharaoh', 'hieroglyphs', 'sphinx']",0.00 %,3,100.00 %,3,0.00 %,
Eritrea,"{'africa': True, 'eastern africa': True, 'asmara': True}","['asmara', 'red sea', 'independence', 'tigrinya', 'dahlak']",33.33 %,3,66.67 %,3,33.33 %,
Estonia,"{'europe': True, 'northern europe': True, 'tallinn': True}","['tallinn', 'sauna', 'forest', 'digital', 'singing']",33.33 %,3,66.67 %,3,33.33 %,
Ethiopia,"{'africa': True, 'eastern africa': True, 'addis ababa': True}","['coffee', 'lalibela', 'amharic', 'injera', 'rift valley']",0.00 %,3,100.00 %,3,0.00 %,
Fiji,"{'oceania': True, 'melanesia': True, 'suva': True}","['islands', 'tropical', 'beaches', 'coral', 'bula']",0.00 %,3,100.00 %,3,0.00 %,
Finland,"{'europe': True, 'northern europe': True, 'helsinki': True}","['sauna', 'nokia', 'aurora', 'lakes', 'sisu']",0.00 %,3,100.00 %,3,0.00 %,
France,"{'europe': True, 'western europe': True, 'paris': True, 'eiffel tower': True}","['eiffel', 'baguette', 'paris', 'champagne', 'croissant']",25.00 %,4,75.00 %,4,25.00 %,
Gabon,"{'africa': True, 'middle africa': True, 'libreville': True}","['rainforest', 'oil', 'libreville', 'biodiversity', 'equator']",33.33 %,3,66.67 %,3,33.33 %,
Gambia,"{'africa': True, 'western africa': True, 'banjul': True}","['banjul', 'river', 'senegambia', 'jollof', 'kora']",33.33 %,3,66.67 %,3,33.33 %,
Georgia,"{'asia': False, 'western asia': False, 'tbilisi': True}","['peaches', 'atlanta', 'savannah', 'appalachian', 'southern']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Germany,"{'europe': True, 'western europe': True, 'berlin': True, 'munich': True, 'hamburg': True}","['beer', 'autobahn', 'oktoberfest', 'berlin', 'sausage']",20.00 %,5,80.00 %,5,20.00 %,
Ghana,"{'africa': True, 'western africa': True, 'accra': True}","['accra', 'cocoa', 'kente', 'ashanti', 'gold']",33.33 %,3,66.67 %,3,33.33 %,
Gibraltar,"{'europe': True, 'southern europe': True, 'gibraltar': True}","['rock', 'strait', 'monkeys', 'british', 'mediterranean']",0.00 %,3,100.00 %,3,0.00 %,
Greece,"{'europe': True, 'southern europe': True, 'athens': True}","['athens', 'parthenon', 'mediterranean', 'mythology', 'olives']",33.33 %,3,66.67 %,3,33.33 %,
Greenland,"{'americas': False, 'northern america': False, 'nuuk': True}","['ice', 'arctic', 'fjords', 'inuit', 'glaciers']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Grenada,"{'americas': True, 'caribbean': True, ""st. george's"": True}","['caribbean', 'spice', 'beaches', 'nutmeg', 'rainforest']",33.33 %,3,66.67 %,3,33.33 %,
Guam,"{'oceania': True, 'micronesia': True, 'hagåtña': True}","['island', 'pacific', 'chamorro', 'tropical', 'military']",0.00 %,3,100.00 %,3,0.00 %,
Guatemala,"{'americas': True, 'central america': True, 'guatemala city': True}","['volcanoes', 'mayan', 'coffee', 'quetzal', 'tikal']",0.00 %,3,100.00 %,3,0.00 %,
Guernsey,"{'europe': True, 'northern europe': False, 'st. peter port': True}","['island', 'channel', 'cows', 'literature', 'history']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Guinea,"{'africa': True, 'western africa': True, 'conakry': True}","['conakry', 'west africa', 'bauxite', 'fouta djallon', 'french']",33.33 %,3,66.67 %,3,33.33 %,
Guinea-Bissau,"{'africa': True, 'western africa': True, 'bissau': True}","['bissau', 'cashew', 'bijagós', 'carnival', 'creole']",33.33 %,3,66.67 %,3,33.33 %,
Guyana,"{'americas': True, 'south america': True, 'georgetown': True}","['caribbean', 'rainforest', 'demerara', 'rupununi', 'georgetown']",33.33 %,3,66.67 %,3,33.33 %,
Haiti,"{'americas': True, 'caribbean': True, 'port-au-prince': True}","['caribbean', 'creole', 'revolution', 'voodoo', 'poverty']",33.33 %,3,66.67 %,3,33.33 %,
Honduras,"{'americas': True, 'central america': True, 'tegucigalpa': True}","['tegucigalpa', 'copán', 'caribbean', 'mayan', 'bananas']",33.33 %,3,66.67 %,3,33.33 %,
Hungary,"{'europe': True, 'eastern europe': True, 'budapest': True}","['budapest', 'goulash', 'puszta', 'thermal', 'magyar']",33.33 %,3,66.67 %,3,33.33 %,
Iceland,"{'europe': True, 'northern europe': True, 'reykjavík': True}","['volcano', 'glacier', 'northern_lights', 'geyser', 'fjord']",0.00 %,3,100.00 %,3,0.00 %,
